id	col1	col2	random
827	row827_col1	row827_col2	9396
828	row828_col1	row828_col2	6471
829	row829_col1	row829_col2	3959
830	row830_col1	row830_col2	6552
831	row831_col1	row831_col2	7114
832	row832_col1	row832_col2	8200
833	row833_col1	row833_col2	3797
834	row834_col1	row834_col2	8339
835	row835_col1	row835_col2	1053
836	row836_col1	row836_col2	1300
837	row837_col1	row837_col2	2502
838	row838_col1	row838_col2	6688
839	row839_col1	row839_col2	9420
840	row840_col1	row840_col2	5589
841	row841_col1	row841_col2	3051
842	row842_col1	row842_col2	9566
843	row843_col1	row843_col2	1213
844	row844_col1	row844_col2	3631
845	row845_col1	row845_col2	3228
846	row846_col1	row846_col2	8816
847	row847_col1	row847_col2	1775
848	row848_col1	row848_col2	5461
849	row849_col1	row849_col2	2478
850	row850_col1	row850_col2	8830
851	row851_col1	row851_col2	547
852	row852_col1	row852_col2	8253
853	row853_col1	row853_col2	5857
854	row854_col1	row854_col2	5469
855	row855_col1	row855_col2	8197
856	row856_col1	row856_col2	2333
857	row857_col1	row857_col2	6147
858	row858_col1	row858_col2	659
859	row859_col1	row859_col2	2422
860	row860_col1	row860_col2	6758
861	row861_col1	row861_col2	3316
862	row862_col1	row862_col2	5044
863	row863_col1	row863_col2	4429
864	row864_col1	row864_col2	9583
865	row865_col1	row865_col2	861
866	row866_col1	row866_col2	9373
867	row867_col1	row867_col2	7711
868	row868_col1	row868_col2	6533
869	row869_col1	row869_col2	9213
870	row870_col1	row870_col2	6934
871	row871_col1	row871_col2	5348
872	row872_col1	row872_col2	914
873	row873_col1	row873_col2	9376
874	row874_col1	row874_col2	3963
875	row875_col1	row875_col2	8528
876	row876_col1	row876_col2	1566
877	row877_col1	row877_col2	2524
878	row878_col1	row878_col2	4994
879	row879_col1	row879_col2	6137
880	row880_col1	row880_col2	5550
881	row881_col1	row881_col2	5993
882	row882_col1	row882_col2	422
883	row883_col1	row883_col2	8226
884	row884_col1	row884_col2	1667
885	row885_col1	row885_col2	3723
886	row886_col1	row886_col2	3052
887	row887_col1	row887_col2	7401
888	row888_col1	row888_col2	327
889	row889_col1	row889_col2	6696
890	row890_col1	row890_col2	1794
891	row891_col1	row891_col2	3041
892	row892_col1	row892_col2	336
893	row893_col1	row893_col2	5928
894	row894_col1	row894_col2	1714
895	row895_col1	row895_col2	603
896	row896_col1	row896_col2	2574
897	row897_col1	row897_col2	2220
898	row898_col1	row898_col2	3077
899	row899_col1	row899_col2	1489
900	row900_col1	row900_col2	5677
901	row901_col1	row901_col2	8967
902	row902_col1	row902_col2	2536
903	row903_col1	row903_col2	9574
904	row904_col1	row904_col2	6045
905	row905_col1	row905_col2	703
906	row906_col1	row906_col2	9686
907	row907_col1	row907_col2	1280
908	row908_col1	row908_col2	3254
909	row909_col1	row909_col2	6456
910	row910_col1	row910_col2	875
911	row911_col1	row911_col2	758
912	row912_col1	row912_col2	701
913	row913_col1	row913_col2	712
914	row914_col1	row914_col2	7513
915	row915_col1	row915_col2	8958
916	row916_col1	row916_col2	3287
917	row917_col1	row917_col2	5021
918	row918_col1	row918_col2	5505
919	row919_col1	row919_col2	9674
920	row920_col1	row920_col2	9307
921	row921_col1	row921_col2	3661
922	row922_col1	row922_col2	3401
923	row923_col1	row923_col2	2034
924	row924_col1	row924_col2	6092
925	row925_col1	row925_col2	7215
926	row926_col1	row926_col2	9402
927	row927_col1	row927_col2	1551
928	row928_col1	row928_col2	5574
929	row929_col1	row929_col2	3134
930	row930_col1	row930_col2	6226
931	row931_col1	row931_col2	5972
932	row932_col1	row932_col2	7806
933	row933_col1	row933_col2	5600
934	row934_col1	row934_col2	3804
935	row935_col1	row935_col2	4061
936	row936_col1	row936_col2	6347
937	row937_col1	row937_col2	8402
938	row938_col1	row938_col2	444
939	row939_col1	row939_col2	7554
940	row940_col1	row940_col2	72
941	row941_col1	row941_col2	3941
942	row942_col1	row942_col2	5502
943	row943_col1	row943_col2	1751
944	row944_col1	row944_col2	4077
945	row945_col1	row945_col2	9060
946	row946_col1	row946_col2	2802
947	row947_col1	row947_col2	5513
948	row948_col1	row948_col2	2857
949	row949_col1	row949_col2	8374
950	row950_col1	row950_col2	2312
951	row951_col1	row951_col2	2991
952	row952_col1	row952_col2	3162
953	row953_col1	row953_col2	5254
954	row954_col1	row954_col2	5524
955	row955_col1	row955_col2	4533
956	row956_col1	row956_col2	1410
957	row957_col1	row957_col2	5405
958	row958_col1	row958_col2	9526
959	row959_col1	row959_col2	540
960	row960_col1	row960_col2	1965
961	row961_col1	row961_col2	4757
962	row962_col1	row962_col2	3567
963	row963_col1	row963_col2	6565
964	row964_col1	row964_col2	3933
965	row965_col1	row965_col2	4557
966	row966_col1	row966_col2	985
967	row967_col1	row967_col2	1891
968	row968_col1	row968_col2	6049
969	row969_col1	row969_col2	8449
970	row970_col1	row970_col2	9145
971	row971_col1	row971_col2	5123
972	row972_col1	row972_col2	7861
973	row973_col1	row973_col2	2173
974	row974_col1	row974_col2	7457
975	row975_col1	row975_col2	1648
976	row976_col1	row976_col2	9180
977	row977_col1	row977_col2	2872
978	row978_col1	row978_col2	5513
979	row979_col1	row979_col2	5531
980	row980_col1	row980_col2	3799
981	row981_col1	row981_col2	4641
982	row982_col1	row982_col2	1505
983	row983_col1	row983_col2	6893
984	row984_col1	row984_col2	9535
985	row985_col1	row985_col2	3881
986	row986_col1	row986_col2	6357
987	row987_col1	row987_col2	2118
988	row988_col1	row988_col2	5664
989	row989_col1	row989_col2	6735
990	row990_col1	row990_col2	6667
991	row991_col1	row991_col2	8392
992	row992_col1	row992_col2	275
993	row993_col1	row993_col2	3712
994	row994_col1	row994_col2	3067
995	row995_col1	row995_col2	2635
996	row996_col1	row996_col2	5793
997	row997_col1	row997_col2	911
998	row998_col1	row998_col2	1129
999	row999_col1	row999_col2	6460
1000	row1000_col1	row1000_col2	6424
1001	row1001_col1	row1001_col2	9070
1002	row1002_col1	row1002_col2	994
1003	row1003_col1	row1003_col2	9398
1004	row1004_col1	row1004_col2	3042
1005	row1005_col1	row1005_col2	1048
1006	row1006_col1	row1006_col2	7436
1007	row1007_col1	row1007_col2	3670
1008	row1008_col1	row1008_col2	8246
1009	row1009_col1	row1009_col2	301
1010	row1010_col1	row1010_col2	9748
1011	row1011_col1	row1011_col2	9591
1012	row1012_col1	row1012_col2	902
1013	row1013_col1	row1013_col2	1365
1014	row1014_col1	row1014_col2	7897
1015	row1015_col1	row1015_col2	2242
1016	row1016_col1	row1016_col2	6388
1017	row1017_col1	row1017_col2	4737
1018	row1018_col1	row1018_col2	4614
1019	row1019_col1	row1019_col2	9551
1020	row1020_col1	row1020_col2	7050
1021	row1021_col1	row1021_col2	2475
1022	row1022_col1	row1022_col2	928
1023	row1023_col1	row1023_col2	429
1024	row1024_col1	row1024_col2	2589
1025	row1025_col1	row1025_col2	8948
1026	row1026_col1	row1026_col2	7245
1027	row1027_col1	row1027_col2	5211
1028	row1028_col1	row1028_col2	8152
1029	row1029_col1	row1029_col2	3944
1030	row1030_col1	row1030_col2	2156
1031	row1031_col1	row1031_col2	4358
1032	row1032_col1	row1032_col2	2478
1033	row1033_col1	row1033_col2	619
1034	row1034_col1	row1034_col2	6868
1035	row1035_col1	row1035_col2	2157
1036	row1036_col1	row1036_col2	6240
1037	row1037_col1	row1037_col2	4775
1038	row1038_col1	row1038_col2	1104
1039	row1039_col1	row1039_col2	9075
1040	row1040_col1	row1040_col2	6687
1041	row1041_col1	row1041_col2	5702
1042	row1042_col1	row1042_col2	7779
1043	row1043_col1	row1043_col2	3241
1044	row1044_col1	row1044_col2	4229
1045	row1045_col1	row1045_col2	8002
1046	row1046_col1	row1046_col2	3382
1047	row1047_col1	row1047_col2	9794
1048	row1048_col1	row1048_col2	1273
1049	row1049_col1	row1049_col2	8916
1050	row1050_col1	row1050_col2	7491
1051	row1051_col1	row1051_col2	892
1052	row1052_col1	row1052_col2	7393
1053	row1053_col1	row1053_col2	8275
1054	row1054_col1	row1054_col2	9630
1055	row1055_col1	row1055_col2	559
1056	row1056_col1	row1056_col2	8579
1057	row1057_col1	row1057_col2	6094
1058	row1058_col1	row1058_col2	7689
1059	row1059_col1	row1059_col2	6012
1060	row1060_col1	row1060_col2	9190
1061	row1061_col1	row1061_col2	4129
1062	row1062_col1	row1062_col2	9757
1063	row1063_col1	row1063_col2	2602
1064	row1064_col1	row1064_col2	364
1065	row1065_col1	row1065_col2	2737
1066	row1066_col1	row1066_col2	7767
1067	row1067_col1	row1067_col2	6966
1068	row1068_col1	row1068_col2	2685
1069	row1069_col1	row1069_col2	8707
1070	row1070_col1	row1070_col2	8371
1071	row1071_col1	row1071_col2	3553
1072	row1072_col1	row1072_col2	7840
1073	row1073_col1	row1073_col2	4952
1074	row1074_col1	row1074_col2	3024
1075	row1075_col1	row1075_col2	6201
1076	row1076_col1	row1076_col2	2493
1077	row1077_col1	row1077_col2	9599
1078	row1078_col1	row1078_col2	5585
1079	row1079_col1	row1079_col2	7471
1080	row1080_col1	row1080_col2	8492
1081	row1081_col1	row1081_col2	9755
1082	row1082_col1	row1082_col2	8435
1083	row1083_col1	row1083_col2	5233
1084	row1084_col1	row1084_col2	2830
1085	row1085_col1	row1085_col2	9040
1086	row1086_col1	row1086_col2	9834
1087	row1087_col1	row1087_col2	5402
1088	row1088_col1	row1088_col2	6784
1089	row1089_col1	row1089_col2	8991
1090	row1090_col1	row1090_col2	6522
1091	row1091_col1	row1091_col2	4058
1092	row1092_col1	row1092_col2	789
1093	row1093_col1	row1093_col2	4445
1094	row1094_col1	row1094_col2	2847
1095	row1095_col1	row1095_col2	7911
1096	row1096_col1	row1096_col2	7561
1097	row1097_col1	row1097_col2	1465
1098	row1098_col1	row1098_col2	2326
1099	row1099_col1	row1099_col2	8180
1100	row1100_col1	row1100_col2	8276
1101	row1101_col1	row1101_col2	4422
1102	row1102_col1	row1102_col2	1135
1103	row1103_col1	row1103_col2	4498
1104	row1104_col1	row1104_col2	1238
1105	row1105_col1	row1105_col2	2030
1106	row1106_col1	row1106_col2	9471
1107	row1107_col1	row1107_col2	7758
1108	row1108_col1	row1108_col2	6549
1109	row1109_col1	row1109_col2	4878
1110	row1110_col1	row1110_col2	4001
1111	row1111_col1	row1111_col2	4914
1112	row1112_col1	row1112_col2	5470
1113	row1113_col1	row1113_col2	1190
1114	row1114_col1	row1114_col2	5534
1115	row1115_col1	row1115_col2	9804
1116	row1116_col1	row1116_col2	1811
1117	row1117_col1	row1117_col2	1667
1118	row1118_col1	row1118_col2	2371
1119	row1119_col1	row1119_col2	362
1120	row1120_col1	row1120_col2	7255
1121	row1121_col1	row1121_col2	1650
1122	row1122_col1	row1122_col2	9239
1123	row1123_col1	row1123_col2	8883
1124	row1124_col1	row1124_col2	2883
1125	row1125_col1	row1125_col2	9090
1126	row1126_col1	row1126_col2	1506
1127	row1127_col1	row1127_col2	2825
1128	row1128_col1	row1128_col2	2041
1129	row1129_col1	row1129_col2	807
1130	row1130_col1	row1130_col2	4887
1131	row1131_col1	row1131_col2	4497
1132	row1132_col1	row1132_col2	1906
1133	row1133_col1	row1133_col2	6938
1134	row1134_col1	row1134_col2	7304
1135	row1135_col1	row1135_col2	9851
1136	row1136_col1	row1136_col2	9321
1137	row1137_col1	row1137_col2	3045
1138	row1138_col1	row1138_col2	6265
1139	row1139_col1	row1139_col2	2192
1140	row1140_col1	row1140_col2	4595
1141	row1141_col1	row1141_col2	8723
1142	row1142_col1	row1142_col2	728
1143	row1143_col1	row1143_col2	6307
1144	row1144_col1	row1144_col2	9710
1145	row1145_col1	row1145_col2	2284
1146	row1146_col1	row1146_col2	7071
1147	row1147_col1	row1147_col2	5566
1148	row1148_col1	row1148_col2	79
1149	row1149_col1	row1149_col2	6834
1150	row1150_col1	row1150_col2	5004
1151	row1151_col1	row1151_col2	8008
1152	row1152_col1	row1152_col2	350
1153	row1153_col1	row1153_col2	1769
1154	row1154_col1	row1154_col2	4267
1155	row1155_col1	row1155_col2	647
1156	row1156_col1	row1156_col2	8117
1157	row1157_col1	row1157_col2	9155
1158	row1158_col1	row1158_col2	7314
1159	row1159_col1	row1159_col2	4715
1160	row1160_col1	row1160_col2	5894
1161	row1161_col1	row1161_col2	9330
1162	row1162_col1	row1162_col2	7799
1163	row1163_col1	row1163_col2	5846
1164	row1164_col1	row1164_col2	7934
1165	row1165_col1	row1165_col2	5085
1166	row1166_col1	row1166_col2	7736
1167	row1167_col1	row1167_col2	662
1168	row1168_col1	row1168_col2	2840
1169	row1169_col1	row1169_col2	5191
1170	row1170_col1	row1170_col2	492
1171	row1171_col1	row1171_col2	7394
1172	row1172_col1	row1172_col2	4962
1173	row1173_col1	row1173_col2	5055
1174	row1174_col1	row1174_col2	8042
1175	row1175_col1	row1175_col2	1855
1176	row1176_col1	row1176_col2	3903
1177	row1177_col1	row1177_col2	6168
1178	row1178_col1	row1178_col2	6356
1179	row1179_col1	row1179_col2	8188
1180	row1180_col1	row1180_col2	3534
1181	row1181_col1	row1181_col2	8179
1182	row1182_col1	row1182_col2	1399
1183	row1183_col1	row1183_col2	5856
1184	row1184_col1	row1184_col2	9393
1185	row1185_col1	row1185_col2	9699
1186	row1186_col1	row1186_col2	2299
1187	row1187_col1	row1187_col2	9284
1188	row1188_col1	row1188_col2	68
1189	row1189_col1	row1189_col2	6560
1190	row1190_col1	row1190_col2	9984
1191	row1191_col1	row1191_col2	822
1192	row1192_col1	row1192_col2	1541
1193	row1193_col1	row1193_col2	2715
1194	row1194_col1	row1194_col2	5925
1195	row1195_col1	row1195_col2	4139
1196	row1196_col1	row1196_col2	1553
1197	row1197_col1	row1197_col2	4507
1198	row1198_col1	row1198_col2	7288
1199	row1199_col1	row1199_col2	1137
1200	row1200_col1	row1200_col2	8798
1201	row1201_col1	row1201_col2	5
1202	row1202_col1	row1202_col2	3004
1203	row1203_col1	row1203_col2	6416
1204	row1204_col1	row1204_col2	2294
1205	row1205_col1	row1205_col2	6995
1206	row1206_col1	row1206_col2	9584
1207	row1207_col1	row1207_col2	5023
1208	row1208_col1	row1208_col2	7054
1209	row1209_col1	row1209_col2	9221
1210	row1210_col1	row1210_col2	5693
1211	row1211_col1	row1211_col2	9700
1212	row1212_col1	row1212_col2	3895
1213	row1213_col1	row1213_col2	9981
1214	row1214_col1	row1214_col2	1663
1215	row1215_col1	row1215_col2	2329
1216	row1216_col1	row1216_col2	2764
1217	row1217_col1	row1217_col2	1078
1218	row1218_col1	row1218_col2	6186
1219	row1219_col1	row1219_col2	1655
1220	row1220_col1	row1220_col2	623
1221	row1221_col1	row1221_col2	40
1222	row1222_col1	row1222_col2	30
1223	row1223_col1	row1223_col2	4839
1224	row1224_col1	row1224_col2	9115
1225	row1225_col1	row1225_col2	4735
1226	row1226_col1	row1226_col2	9285
1227	row1227_col1	row1227_col2	8975
1228	row1228_col1	row1228_col2	63
1229	row1229_col1	row1229_col2	4146
1230	row1230_col1	row1230_col2	7151
1231	row1231_col1	row1231_col2	7479
1232	row1232_col1	row1232_col2	7418
1233	row1233_col1	row1233_col2	4588
1234	row1234_col1	row1234_col2	7076
1235	row1235_col1	row1235_col2	1464
1236	row1236_col1	row1236_col2	9951
1237	row1237_col1	row1237_col2	4501
1238	row1238_col1	row1238_col2	9569
1239	row1239_col1	row1239_col2	9984
1240	row1240_col1	row1240_col2	1480
1241	row1241_col1	row1241_col2	4812
1242	row1242_col1	row1242_col2	4220
1243	row1243_col1	row1243_col2	4808
1244	row1244_col1	row1244_col2	8226
1245	row1245_col1	row1245_col2	375
1246	row1246_col1	row1246_col2	7241
1247	row1247_col1	row1247_col2	3426
1248	row1248_col1	row1248_col2	9409
1249	row1249_col1	row1249_col2	3506
1250	row1250_col1	row1250_col2	1253
1251	row1251_col1	row1251_col2	4815
1252	row1252_col1	row1252_col2	6421
1253	row1253_col1	row1253_col2	3906
1254	row1254_col1	row1254_col2	7954
1255	row1255_col1	row1255_col2	5230
1256	row1256_col1	row1256_col2	4634
1257	row1257_col1	row1257_col2	7129
1258	row1258_col1	row1258_col2	9990
1259	row1259_col1	row1259_col2	6680
1260	row1260_col1	row1260_col2	3905
1261	row1261_col1	row1261_col2	6612
1262	row1262_col1	row1262_col2	3978
1263	row1263_col1	row1263_col2	2311
1264	row1264_col1	row1264_col2	6680
1265	row1265_col1	row1265_col2	4979
1266	row1266_col1	row1266_col2	2428
1267	row1267_col1	row1267_col2	6394
1268	row1268_col1	row1268_col2	8695
1269	row1269_col1	row1269_col2	870
1270	row1270_col1	row1270_col2	3188
1271	row1271_col1	row1271_col2	3769
1272	row1272_col1	row1272_col2	4290
1273	row1273_col1	row1273_col2	8705
1274	row1274_col1	row1274_col2	3245
1275	row1275_col1	row1275_col2	19
1276	row1276_col1	row1276_col2	2263
1277	row1277_col1	row1277_col2	5970
1278	row1278_col1	row1278_col2	8823
1279	row1279_col1	row1279_col2	6325
1280	row1280_col1	row1280_col2	2971
1281	row1281_col1	row1281_col2	607
1282	row1282_col1	row1282_col2	9755
1283	row1283_col1	row1283_col2	761
1284	row1284_col1	row1284_col2	8348
1285	row1285_col1	row1285_col2	2853
1286	row1286_col1	row1286_col2	7420
1287	row1287_col1	row1287_col2	5676
1288	row1288_col1	row1288_col2	2732
1289	row1289_col1	row1289_col2	1354
1290	row1290_col1	row1290_col2	1620
1291	row1291_col1	row1291_col2	1337
1292	row1292_col1	row1292_col2	7666
1293	row1293_col1	row1293_col2	2009
1294	row1294_col1	row1294_col2	5871
1295	row1295_col1	row1295_col2	2476
1296	row1296_col1	row1296_col2	2995
1297	row1297_col1	row1297_col2	4197
1298	row1298_col1	row1298_col2	7622
1299	row1299_col1	row1299_col2	423
1300	row1300_col1	row1300_col2	8334
1301	row1301_col1	row1301_col2	8484
1302	row1302_col1	row1302_col2	3944
1303	row1303_col1	row1303_col2	7069
1304	row1304_col1	row1304_col2	1207
1305	row1305_col1	row1305_col2	8941
1306	row1306_col1	row1306_col2	8089
1307	row1307_col1	row1307_col2	892
1308	row1308_col1	row1308_col2	4563
1309	row1309_col1	row1309_col2	7906
1310	row1310_col1	row1310_col2	4565
1311	row1311_col1	row1311_col2	424
1312	row1312_col1	row1312_col2	1705
1313	row1313_col1	row1313_col2	8627
1314	row1314_col1	row1314_col2	5277
1315	row1315_col1	row1315_col2	6698
1316	row1316_col1	row1316_col2	3890
1317	row1317_col1	row1317_col2	5766
1318	row1318_col1	row1318_col2	234
1319	row1319_col1	row1319_col2	3901
1320	row1320_col1	row1320_col2	946
1321	row1321_col1	row1321_col2	1160
1322	row1322_col1	row1322_col2	4189
1323	row1323_col1	row1323_col2	5614
1324	row1324_col1	row1324_col2	3682
1325	row1325_col1	row1325_col2	399
1326	row1326_col1	row1326_col2	929
1327	row1327_col1	row1327_col2	8934
1328	row1328_col1	row1328_col2	5571
1329	row1329_col1	row1329_col2	5821
1330	row1330_col1	row1330_col2	5245
1331	row1331_col1	row1331_col2	3575
1332	row1332_col1	row1332_col2	9078
1333	row1333_col1	row1333_col2	7253
1334	row1334_col1	row1334_col2	387
1335	row1335_col1	row1335_col2	5780
1336	row1336_col1	row1336_col2	4011
1337	row1337_col1	row1337_col2	3388
1338	row1338_col1	row1338_col2	8126
1339	row1339_col1	row1339_col2	5688
1340	row1340_col1	row1340_col2	6803
1341	row1341_col1	row1341_col2	8070
1342	row1342_col1	row1342_col2	8833
1343	row1343_col1	row1343_col2	3060
1344	row1344_col1	row1344_col2	1443
1345	row1345_col1	row1345_col2	8421
1346	row1346_col1	row1346_col2	6987
1347	row1347_col1	row1347_col2	5269
1348	row1348_col1	row1348_col2	5756
1349	row1349_col1	row1349_col2	5521
1350	row1350_col1	row1350_col2	779
1351	row1351_col1	row1351_col2	4970
1352	row1352_col1	row1352_col2	7811
1353	row1353_col1	row1353_col2	1671
1354	row1354_col1	row1354_col2	6649
1355	row1355_col1	row1355_col2	3591
1356	row1356_col1	row1356_col2	7126
1357	row1357_col1	row1357_col2	9927
1358	row1358_col1	row1358_col2	9621
1359	row1359_col1	row1359_col2	9018
1360	row1360_col1	row1360_col2	9452
1361	row1361_col1	row1361_col2	7572
1362	row1362_col1	row1362_col2	1069
1363	row1363_col1	row1363_col2	4283
1364	row1364_col1	row1364_col2	1220
1365	row1365_col1	row1365_col2	6047
1366	row1366_col1	row1366_col2	1964
1367	row1367_col1	row1367_col2	8411
1368	row1368_col1	row1368_col2	9004
1369	row1369_col1	row1369_col2	675
1370	row1370_col1	row1370_col2	607
1371	row1371_col1	row1371_col2	1057
1372	row1372_col1	row1372_col2	7271
1373	row1373_col1	row1373_col2	997
1374	row1374_col1	row1374_col2	6374
1375	row1375_col1	row1375_col2	1732
1376	row1376_col1	row1376_col2	9901
1377	row1377_col1	row1377_col2	3085
1378	row1378_col1	row1378_col2	5368
1379	row1379_col1	row1379_col2	7507
1380	row1380_col1	row1380_col2	2010
1381	row1381_col1	row1381_col2	5110
1382	row1382_col1	row1382_col2	4325
1383	row1383_col1	row1383_col2	6756
1384	row1384_col1	row1384_col2	189
1385	row1385_col1	row1385_col2	3374
1386	row1386_col1	row1386_col2	8866
1387	row1387_col1	row1387_col2	4548
1388	row1388_col1	row1388_col2	4497
1389	row1389_col1	row1389_col2	8161
1390	row1390_col1	row1390_col2	9578
1391	row1391_col1	row1391_col2	5009
1392	row1392_col1	row1392_col2	8391
1393	row1393_col1	row1393_col2	5202
1394	row1394_col1	row1394_col2	8815
1395	row1395_col1	row1395_col2	6058
1396	row1396_col1	row1396_col2	3601
1397	row1397_col1	row1397_col2	3205
1398	row1398_col1	row1398_col2	4511
1399	row1399_col1	row1399_col2	5185
1400	row1400_col1	row1400_col2	5202
1401	row1401_col1	row1401_col2	5915
1402	row1402_col1	row1402_col2	6270
1403	row1403_col1	row1403_col2	9262
1404	row1404_col1	row1404_col2	9815
1405	row1405_col1	row1405_col2	9536
1406	row1406_col1	row1406_col2	9109
1407	row1407_col1	row1407_col2	8069
1408	row1408_col1	row1408_col2	8411
1409	row1409_col1	row1409_col2	5632
1410	row1410_col1	row1410_col2	1353
1411	row1411_col1	row1411_col2	3731
1412	row1412_col1	row1412_col2	4137
1413	row1413_col1	row1413_col2	3871
1414	row1414_col1	row1414_col2	8549
1415	row1415_col1	row1415_col2	3895
1416	row1416_col1	row1416_col2	92
1417	row1417_col1	row1417_col2	1773
1418	row1418_col1	row1418_col2	3008
1419	row1419_col1	row1419_col2	2707
1420	row1420_col1	row1420_col2	6554
1421	row1421_col1	row1421_col2	526
1422	row1422_col1	row1422_col2	533
1423	row1423_col1	row1423_col2	5339
1424	row1424_col1	row1424_col2	2501
1425	row1425_col1	row1425_col2	8580
1426	row1426_col1	row1426_col2	8693
1427	row1427_col1	row1427_col2	9075
1428	row1428_col1	row1428_col2	2049
1429	row1429_col1	row1429_col2	2157
1430	row1430_col1	row1430_col2	7876
1431	row1431_col1	row1431_col2	4408
1432	row1432_col1	row1432_col2	8628
1433	row1433_col1	row1433_col2	1869
1434	row1434_col1	row1434_col2	2994
1435	row1435_col1	row1435_col2	5031
1436	row1436_col1	row1436_col2	7924
1437	row1437_col1	row1437_col2	9238
1438	row1438_col1	row1438_col2	2560
1439	row1439_col1	row1439_col2	6904
1440	row1440_col1	row1440_col2	4084
1441	row1441_col1	row1441_col2	9892
1442	row1442_col1	row1442_col2	5853
1443	row1443_col1	row1443_col2	1493
1444	row1444_col1	row1444_col2	261
1445	row1445_col1	row1445_col2	3264
1446	row1446_col1	row1446_col2	2707
1447	row1447_col1	row1447_col2	921
1448	row1448_col1	row1448_col2	1074
1449	row1449_col1	row1449_col2	9649
1450	row1450_col1	row1450_col2	4254
1451	row1451_col1	row1451_col2	5582
1452	row1452_col1	row1452_col2	9874
1453	row1453_col1	row1453_col2	8064
1454	row1454_col1	row1454_col2	3266
1455	row1455_col1	row1455_col2	3891
1456	row1456_col1	row1456_col2	4136
1457	row1457_col1	row1457_col2	2364
1458	row1458_col1	row1458_col2	2795
1459	row1459_col1	row1459_col2	7643
1460	row1460_col1	row1460_col2	7979
1461	row1461_col1	row1461_col2	5465
1462	row1462_col1	row1462_col2	3519
1463	row1463_col1	row1463_col2	2120
1464	row1464_col1	row1464_col2	1889
1465	row1465_col1	row1465_col2	3942
1466	row1466_col1	row1466_col2	1140
1467	row1467_col1	row1467_col2	5580
1468	row1468_col1	row1468_col2	670
1469	row1469_col1	row1469_col2	4349
1470	row1470_col1	row1470_col2	5958
1471	row1471_col1	row1471_col2	8689
1472	row1472_col1	row1472_col2	5862
1473	row1473_col1	row1473_col2	3802
1474	row1474_col1	row1474_col2	6557
1475	row1475_col1	row1475_col2	8736
1476	row1476_col1	row1476_col2	8135
1477	row1477_col1	row1477_col2	5243
1478	row1478_col1	row1478_col2	421
1479	row1479_col1	row1479_col2	131
1480	row1480_col1	row1480_col2	1457
1481	row1481_col1	row1481_col2	4660
1482	row1482_col1	row1482_col2	5606
1483	row1483_col1	row1483_col2	9807
1484	row1484_col1	row1484_col2	7733
1485	row1485_col1	row1485_col2	7517
1486	row1486_col1	row1486_col2	929
1487	row1487_col1	row1487_col2	7761
1488	row1488_col1	row1488_col2	7015
1489	row1489_col1	row1489_col2	7939
1490	row1490_col1	row1490_col2	1414
1491	row1491_col1	row1491_col2	4876
1492	row1492_col1	row1492_col2	411
1493	row1493_col1	row1493_col2	1369
1494	row1494_col1	row1494_col2	7062
1495	row1495_col1	row1495_col2	6204
1496	row1496_col1	row1496_col2	3418
1497	row1497_col1	row1497_col2	1630
1498	row1498_col1	row1498_col2	9850
1499	row1499_col1	row1499_col2	3386
1500	row1500_col1	row1500_col2	5928
1501	row1501_col1	row1501_col2	4292
1502	row1502_col1	row1502_col2	9750
1503	row1503_col1	row1503_col2	9797
1504	row1504_col1	row1504_col2	7643
1505	row1505_col1	row1505_col2	2708
1506	row1506_col1	row1506_col2	1896
1507	row1507_col1	row1507_col2	3106
1508	row1508_col1	row1508_col2	9842
1509	row1509_col1	row1509_col2	336
1510	row1510_col1	row1510_col2	5192
1511	row1511_col1	row1511_col2	6779
1512	row1512_col1	row1512_col2	4993
1513	row1513_col1	row1513_col2	6526
1514	row1514_col1	row1514_col2	9456
1515	row1515_col1	row1515_col2	7807
1516	row1516_col1	row1516_col2	679
1517	row1517_col1	row1517_col2	2170
1518	row1518_col1	row1518_col2	8979
1519	row1519_col1	row1519_col2	4526
1520	row1520_col1	row1520_col2	8865
1521	row1521_col1	row1521_col2	4941
1522	row1522_col1	row1522_col2	2279
1523	row1523_col1	row1523_col2	1433
1524	row1524_col1	row1524_col2	8807
1525	row1525_col1	row1525_col2	7666
1526	row1526_col1	row1526_col2	6188
1527	row1527_col1	row1527_col2	664
1528	row1528_col1	row1528_col2	2549
1529	row1529_col1	row1529_col2	4522
1530	row1530_col1	row1530_col2	8735
1531	row1531_col1	row1531_col2	7674
1532	row1532_col1	row1532_col2	1247
1533	row1533_col1	row1533_col2	2174
1534	row1534_col1	row1534_col2	939
1535	row1535_col1	row1535_col2	1542
1536	row1536_col1	row1536_col2	3940
1537	row1537_col1	row1537_col2	750
1538	row1538_col1	row1538_col2	3192
1539	row1539_col1	row1539_col2	3250
1540	row1540_col1	row1540_col2	8777
1541	row1541_col1	row1541_col2	3732
1542	row1542_col1	row1542_col2	6435
1543	row1543_col1	row1543_col2	390
1544	row1544_col1	row1544_col2	3004
1545	row1545_col1	row1545_col2	5732
1546	row1546_col1	row1546_col2	9000
1547	row1547_col1	row1547_col2	354
1548	row1548_col1	row1548_col2	5293
1549	row1549_col1	row1549_col2	3545
1550	row1550_col1	row1550_col2	3638
1551	row1551_col1	row1551_col2	8413
1552	row1552_col1	row1552_col2	1200
1553	row1553_col1	row1553_col2	6196
1554	row1554_col1	row1554_col2	6661
1555	row1555_col1	row1555_col2	618
